1 5 1.7951531420966105 	 jazz
1 7 1.7076474547043636 	 melodic
1 8 1.6916914606551012 	 new
1 9 1.6870998759259044 	 confidence
1 10 1.6603726989115806 	 subtle
1 12 1.6231021477992735 	 guitar
1 15 1.580480345846777 	 open
1 16 1.546269370536026 	 layer
1 18 1.5068360050252145 	 flow
1 21 1.4526244015108172 	 moving
1 22 1.4411353409658145 	 accessible
1 32 1.3594656424899625 	 calm
1 38 1.3189469612817708 	 complex
1 44 1.2641004688713693 	 organ
1 47 1.2526906622546536 	 conventional
1 48 1.2518477839409332 	 eerie
1 50 1.2390917533815164 	 consistent
1 51 1.2361468480321935 	 seamlessly
1 53 1.2309299116338757 	 bizarre
1 61 1.2152232146789765 	 tender
1 62 1.2040261734826592 	 techno
1 65 1.1971195145114344 	 country
1 69 1.1883845656393748 	 keyboard
1 73 1.1793142644246306 	 mix
1 75 1.177189285499791 	 strange
1 78 1.1695575244405338 	 funk
1 86 1.150419042239576 	 evocative
1 87 1.150263918909198 	 gentle
1 90 1.144215377290018 	 intimate
1 91 1.1433878836680835 	 anthem
1 95 1.1289064744637816 	 underground
1 96 1.1225023741068307 	 drum
1 97 1.1187802851172806 	 choir
1 99 1.1054712752687605 	 sequencing
1 101 1.1035805939369485 	 playful
1 123 1.0630113117845614 	 disorienting
1 124 1.061450530964673 	 horn
1 129 1.0418600470749715 	 scary
1 130 1.0418494515570633 	 brutal
1 136 1.0276634114224226 	 sorrow
1 138 1.0212592165458032 	 complicated
1 139 1.0169418531553875 	 clarity
1 140 1.0113160702933246 	 natural
1 141 1.009647046689485 	 dark
1 142 1.0086751095973314 	 developed
1 149 0.9987686616491703 	 steady
1 153 0.9920712985567306 	 produced
1 154 0.9916244011849336 	 unique
1 157 0.9905195632911765 	 mysterious
1 158 0.9881212665142033 	 fringe
1 160 0.9857283407369896 	 traditional
1 161 0.9854403083785178 	 southern
1 163 0.9848518116663899 	 intricate
1 165 0.9823793557182189 	 emotional
1 174 0.971388148884953 	 rhythm
1 177 0.9630345274500173 	 joyous
1 182 0.9581049594395862 	 humor
1 186 0.9573969972106017 	 surreal
1 187 0.9557968806383637 	 ferocious
1 188 0.9551070681321014 	 movement
1 197 0.9472523776966862 	 footwork
1 203 0.9393368087040583 	 tight
1 209 0.9336122720026051 	 lonely
1 210 0.9336051859259458 	 extended
1 217 0.9277437512118012 	 infectious
1 218 0.927743596399084 	 devastating
1 220 0.9241199261956993 	 self contained
1 225 0.9191501236239495 	 visceral
1 230 0.9157959704881149 	 bass
1 234 0.911807178688755 	 sadness
1 240 0.9040468722469928 	 electronics
1 244 0.8947931673071702 	 ghostly
1 247 0.8912677971567177 	 poet
1 250 0.8897266773145958 	 humorous
1 258 0.8812050239249176 	 throbbing
1 262 0.8751461279560248 	 vulnerability
1 263 0.8725524661563299 	 frantic
1 265 0.8715997249191298 	 somber
1 270 0.8699082636121481 	 cohesive
1 282 0.8617425008441224 	 meditation
1 283 0.8597152036845603 	 meticulous
1 285 0.8585694541958787 	 raw
1 286 0.8577454945693037 	 alternate
1 289 0.8565440399734777 	 exhilarating
1 294 0.8525481476114315 	 violin
1 307 0.8450308966447668 	 post punk
1 312 0.841222966991609 	 trumpet
1 315 0.8392367005593343 	 tradition
1 320 0.8364059902192693 	 simplest
1 322 0.8355443467884353 	 speed
1 323 0.8353107623911958 	 bare
1 327 0.8341464429520761 	 intuitive
1 331 0.8330680172588089 	 immediate
1 335 0.8303101629387626 	 avant
1 340 0.824515698045263 	 precise
1 345 0.8193408697202419 	 intimacy
1 350 0.8170079545941293 	 vivid
1 351 0.8165609467796249 	 joyful
1 352 0.8159495109534197 	 chilling
1 354 0.813259676394189 	 heavy
1 355 0.8132221292130511 	 consistency
1 357 0.8113955431359309 	 fluid
1 361 0.8098156586585095 	 set apart
1 364 0.8059282899950878 	 drug
1 365 0.804654075228267 	 soul
1 371 0.8003940059746681 	 drone
1 372 0.7986916466920266 	 noisy
1 374 0.7980217353980475 	 expression
1 387 0.7933155690890724 	 seamless
1 389 0.7930430012882727 	 folk music
1 394 0.7916881522647984 	 urgent
1 396 0.7900428098504882 	 blast
1 398 0.7892397542585537 	 clear
1 410 0.7841593617824345 	 different
1 415 0.7809960058973667 	 crisp
1 419 0.7790731833090608 	 loneliness
1 424 0.7774516795895592 	 layered
1 426 0.7770980254462883 	 darkest
1 428 0.7763698157818416 	 contemporary
1 430 0.7754001060156297 	 pure
1 431 0.7751372283780565 	 deep
1 433 0.7744099280348982 	 searing
1 442 0.7721673989022318 	 lush
1 448 0.7698682527905023 	 comforting
1 449 0.769413007742924 	 prog
1 450 0.7693134936434699 	 death metal
1 457 0.7663462173307328 	 exploding
1 458 0.7662520877589448 	 chopped
1 465 0.7641003851136594 	 sampled
1 470 0.7612347566460109 	 balanced
1 475 0.7571389289444843 	 cello
1 478 0.7548595582897549 	 garage rock
1 484 0.7534607300619431 	 versatile
1 486 0.7513035981774197 	 anxiety
1 488 0.7500122772840501 	 sharp
1 489 0.7495847373429874 	 rhythmic
1 491 0.7485376315902904 	 stark
1 492 0.7479491164424227 	 subtly
